"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.48383647,51.88553294,55.74702864,56.41685823,58.19749792,60.05414367,64.91173089,69.12677492,63.95398055,66.01761537,66.19520765,69.67340682,77.40627489,82.00782861,83.0710365,88.23398488,98.56143185,111.4927036,121.3995102,125.217073,126.7249985,126.2208964,128.1747213,128.7521295,128.376681,134.7696547,141.2100864,151.9550714,155.5353092,162.8988064,165.5057883,171.8443974,174.6207112,179.7657777,179.8561958,187.1329279,192.2125737,202.6952758,214.0080877,219.7332543,216.7003837,216.5398359,231.3301003,231.3409447,235.6375266,231.3614574,230.5551764,233.1990376,248.8615031,262.2449932,272.9723344,278.0835632,278.1569699,284.0561899,281.0522401,279.7732496,269.4743767,259.3841018,244.6606095,246.6678833,234.1533285,216.7664165,198.8685827
New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.14069025,30.3386436,28.15743243,27.53537332,27.0043638,29.10526443,29.78229685,28.3637525,30.16935585,30.25553018,31.15530937,29.2857402,29.01441861,35.47325865,39.37687472,37.8080897,38.42799199,43.3207197,46.57364499,49.40491498,49.85827387,59.92372447,61.42959229,74.50537871,83.55269776,94.69814429,104.1698255,101.073103,96.92624723,95.1836546,98.72904555,105.0786182,108.6361284,112.2791562,112.8097829,123.8944493,122.250306,134.4376089,138.4392327,141.4101273,147.1963091,144.4529778,148.5099635,150.2381121,159.7258985,172.9024675,184.0670462,190.8271251,199.3285686,195.5294044,186.8721654,177.9490655,178.9933128,175.2918066,173.5671738,175.1728575,177.124058,173.9184165,172.754202,170.5688778,174.2858203,170.2987064,165.3435772,161.3194764
Nicaragua,57.58603841,56.82488799,60.88820249,76.13559835,102.0482074,103.9530538,113.4966331,96.60107581,98.73045476,80.48955781,83.19619119,80.57209067,80.61873229,79.67679117,69.47251431,63.62702362,60.23988174,50.42661519,42.86516548,33.7184026,27.92376622,22.90420936,18.78600222,18.84946685,19.44525697,18.16046802,18.74783448,18.49107642,20.93471802,36.96743149,37.21942894,40.48342801,42.55478018,21.57769948,13.52497714,12.4726337,12.51266173,10.12597192,11.96697513,5.111295115,11.00066861,7.12140727,10.45276148,13.05182788,15.6987873,16.54706259,12.86624446,16.17155654,19.80707677,23.1411149,23.51534664,13.67067045,15.08254687,17.63139292,19.57872588,22.5502809,26.38782611,30.12194869,28.14050235,25.38080418,24.26500796,23.94891192,26.74205325,29.36941104,31.17096795,34.14489092,36.6938817,39.08374145,35.96785563,29.83403559,27.73761841,25.54294924,26.11781498,26.67097837
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.600292969,5.857210914,7.828474492,8.25895792,10.01562312,11.8633879,9.905805782,9.473809132,12.24478258,10.68132668,9.603084442,9.255164146,10.07060035,11.9591745,18.46687674,19.05167411,13.09680996,12.50792068,16.6605066,19.27268574,19.09743713,19.75333228,19.06937152,19.55591918,19.26755425,17.76114648,19.63622684,18.32279987,17.89674046,14.71602318,13.9694471,13.05565887,12.96682826,12.04426662,10.64726751,5.860245083,5.64779638,4.266791325,5.077030325,4.900529987,6.190777954,5.902143139,4.403641296,4.569439182,4.340939338,3.826515027,3.751566143,6.968051545,7.962040673,8.800236581,8.928791981,9.778993191,9.860429143,10.35367375,10.58844696,11.16097887,11.41156767,11.29645001,10.08947794,11.06350464,11.47963116,12.69686903,12.39179021,10.9524321
Nigeria,no data,0.350163087,0.531120739,0.537338373,0.557159813,0.802669134,1.002801501,1.268031751,1.384394899,1.33480451,1.61054351,1.599168117,2.183112648,2.453556425,2.633274721,2.663082879,2.848118559,3.140266388,2.513427384,1.985053021,1.567020769,1.947112926,2.094858889,2.215738496,1.772253348,2.321374403,2.614825188,3.106779739,3.718595002,3.65130184,4.309848381,5.441955675,6.059607625,5.846365517,5.903154501,5.693980466,7.155050974,6.237892895,5.71213939,4.792625832,4.702649571,4.744963071,7.812848471,6.653020238,7.70102621,6.671384628,6.384853739,7.235849591,7.649042362,8.085296361,8.079327757,9.566763381,7.802655077,8.383938392,8.235942984,8.258703866,7.999875441,13.45579789,18.17888303,18.59841526,12.82119983,10.59333687,10.27545934,11.30951499,13.05414364,12.92068161,14.43855642,12.63072308,9.850691405,10.10752452,10.94761851,11.88632333,12.58618871,no data
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.96587101,48.37556833,60.36604157,71.1606805,75.2452807,76.42290992,77.65149033,82.82727405,82.19719553,85.18676204,88.33621691,90.70951506,91.56199378,91.57122786,92.80824868,97.49691543,98.26290481,99.13827527,97.96158465
Norway,no data,no data,no data,118.981355,119.2777985,116.7606664,106.2702538,105.4245316,109.9502377,111.2329565,117.2004073,118.9888008,119.1782625,118.182473,116.1591911,111.8816758,114.3437744,113.2757876,115.3602174,120.1601862,114.9288586,115.3324532,117.3948231,116.0873877,112.7683816,119.7252696,124.33401,134.040538,133.8081439,130.2430323,124.3801822,122.1745527,130.0508254,131.9413062,139.3586397,142.9315685,161.1382821,169.0616263,175.4101891,175.3642556,170.7812904,158.887491,164.3636091,156.0759878,146.6131249,142.0929897,139.3523869,150.4776841,165.253166,164.2290661,156.3084608,164.0005898,173.6268696,176.3777836,181.5671517,180.9205433,182.4658228,200.7082529,214.7283709,224.2472062,224.4616944,217.288266,224.4393468,222.2256487,227.9407434,248.2319724,254.9971037,243.4904836,232.6850602,246.5817296,276.758932,237.5930693,201.4812924,229.2078749
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.271099911,6.737646682,15.75185996,13.39097313,13.82267943,16.78085553,19.90076485,16.40902424,13.15347739,12.77475067,13.71525379,16.26809149,17.83219577,19.13248341,21.83339264,21.11456836,24.13326711,23.26207331,20.97068414,21.81534553,21.88622428,23.04420449,25.13903341,26.02571853,26.26687006,34.84002574,52.41856754,52.48965755,42.6710821,45.30031233,44.01094939,41.87369368,41.96332705,40.58178611,38.80659359,45.85465497,41.93914045,54.60616013,48.32740024,45.47170316,45.09319129,45.54146596,47.70427885,68.85026153,79.36011094,84.97972244,78.61856734,85.62114928,101.2592691,91.47614906,70.52995608,no data
Pakistan,3.296249503,3.591332045,3.210935234,3.256732648,4.112931277,4.610557463,4.126710115,4.012087728,4.134907394,4.206420695,5.206083747,5.406463159,7.010578528,8.725087675,11.14846486,11.96325965,13.58646314,14.37844909,14.67820792,14.77366024,16.70712545,16.15365947,18.71899274,16.22374242,12.22140187,11.47371153,13.54142361,14.1679342,13.73194033,14.32804991,13.40427076,13.50100418,13.79850704,14.90002719,15.09334075,17.3145944,18.56347773,17.22819547,16.43361246,15.54524176,14.96489431,13.82781928,14.63037502,15.21179237,14.87116199,14.99573697,16.11675656,16.2794322,17.36816735,17.81883485,17.73188614,16.99401742,16.32185068,17.33568325,20.02428511,20.9799381,22.75421409,22.96077644,24.62665487,22.04453442,20.65865843,17.83362037,16.05749077,14.89778094,13.85702488,15.36780052,17.49612351,19.54071309,22.13875207,23.39235458,23.91080918,23.47554837,22.27676804,no data
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.56846346,10.02055339,9.65929977,8.745728332,7.844242178,7.410895346,7.5444256,9.793937523,11.83938693,12.44427976,12.74870656,15.49687024,16.77011467,18.81300714,19.4318126,16.56340772,19.08189018,18.68918033,17.08129727,13.80215674,11.0303042,10.62752273,9.517124646,8.75525692,11.3071827,13.2347033,11.52731232,11.21428842,10.73825638,10.12084714,8.693714345,8.475562942,9.275371249,11.32615305,13.84652031,16.14569395,18.25962363,17.88601471,17.53401952,18.87375147,20.62584136,17.8657649,17.6021424,17.3998698,15.02465384,14.7586722,14.50023191,15.33959601,14.09569918,12.39260504,14.262784
Paraguay,no data,no data,9.048971054,9.359778057,11.38389867,15.47720705,13.64382265,11.08216761,10.20911852,10.70120228,9.149291415,5.13174328,6.055835705,7.137280726,8.733326702,10.35399214,12.95643171,15.93424147,18.28497179,21.56891704,24.43143761,24.74350391,23.97320843,24.30278167,21.18670753,21.7272761,22.78545772,23.17679545,23.957011,23.17078091,23.56132367,21.83169848,22.86332769,21.65267473,19.70115967,16.66551565,16.6971839,15.12484381,18.42312693,18.23627425,19.74998642,19.74534256,23.29826652,26.98086916,31.40398601,27.90855258,28.79054112,30.84836152,27.33931498,27.06970513,31.02166992,30.69074951,29.38817825,23.29864901,21.09635567,18.99478068,16.34930613,17.08514191,20.9953587,23.85357424,27.46650023,30.99596132,33.98656365,35.96929384,39.85991128,45.21380836,42.99118947,42.60209502,45.24077454,49.66323294,53.58950314,53.5146094,54.19249598,no data
Peru,12.56203441,12.94886117,15.43239152,15.22037707,14.76745854,16.08238328,16.42014147,15.69610446,14.64502638,13.25267657,13.03708099,14.09756212,14.4311621,14.52486213,14.66612477,14.6588248,13.70234052,12.96702104,11.73907995,11.48654574,11.5009327,12.60750377,13.82079912,14.13287038,12.31082978,12.48103935,11.37709375,9.553760532,8.154434814,8.214741651,10.16967872,13.14881933,13.22654181,15.68000997,13.84829718,11.09553232,9.296341114,8.407131997,10.19584932,8.751324819,10.45586084,9.01337618,11.80804145,14.4044139,17.61915958,21.05315028,26.7106049,31.57441904,34.85969543,36.40143416,32.41252137,29.32331225,26.66359658,22.87052745,21.35470737,20.94630289,20.76945733,25.81790881,29.94435887,30.00477359,30.23043492,33.10550618,34.57692276,37.92846187,43.00524157,49.06330655,50.76287457,56.09604194,57.85856186,57.87560172,71.211312,62.41351199,60.39543551,no data
Philippines,6.845503201,7.557238958,7.281202179,7.626510223,8.20186818,8.901037226,9.190326745,10.4490844,10.38159422,10.81029693,11.3122999,14.57079993,15.59424249,17.5064194,19.15346069,18.2949283,18.77130033,19.82863491,20.17315213,20.00250078,19.89742759,19.47940044,20.67622879,22.40384598,23.80274738,23.8646257,25.27289634,26.11381395,28.79887273,29.89772954,32.29546939,33.7401549,34.3275794,37.91421509,25.13577507,20.6613343,15.25827195,16.40974021,16.56081964,17.74401097,19.74579665,18.28284289,21.03859802,27.13023428,29.88017644,38.57587419,51.73705843,62.43069106,54.95719558,49.95965859,47.76242638,45.32907933,43.0051938,39.44813892,39.19850981,34.48386214,32.90672195,31.70558022,33.87863689,35.69673869,35.91511292,38.03311592,40.64208199,44.35644876,48.61364035,51.98472372,53.98539758,55.97800378,57.81789287,57.53401087,64.7117153,62.45585137,61.63334892,no data
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.16871561,26.42853875,23.03857818,22.14324733,25.8514642,27.35759107,33.67742527,36.87570893,39.60610591,42.34056064,48.95348381,47.82446977,42.76161555,43.31154299,49.95065602,56.85182274,69.849673,69.69124822,73.04943925,77.14453688,77.36008319,79.83076155,82.6976036,83.95794738,86.95379556,82.14403513,81.3936849,78.75422582,80.5551986,75.73448142,67.0351266,60.61587271
Portugal,45.45760261,43.66679675,43.98786157,42.07896174,45.49884738,49.67368337,51.36206176,56.20292789,61.2895935,59.75762879,64.3306261,59.86269543,64.67939012,67.68980342,72.9972589,75.23053483,78.97018724,75.00968581,79.82422252,88.66179968,88.85118877,98.04414324,108.2532197,119.6138932,117.0101049,119.1634549,120.8498969,116.9737885,115.233925,112.2567184,111.7985288,119.8159089,130.1944845,135.452963,133.973211,118.029568,102.1273848,92.90862729,88.10377442,83.50096746,76.53674717,81.89929547,85.43803481,94.81542646,96.47043422,93.4216645,102.2791346,106.1341198,118.9070114,131.2095904,142.7525708,154.3515711,160.2941197,167.5714976,176.6376527,180.8641543,184.2393017,193.9009616,206.2882322,215.388641,217.9941295,223.2012957,231.600232,220.1407336,208.2457642,196.7011883,184.3006963,176.7232074,167.0606216,160.8883884,176.6192613,169.380426,153.5143263,138.0905753
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.71452995,18.27031701,19.01050955,16.72989156,14.64235986,13.55289623,12.88900307,14.66622734,17.24027936,20.2916671,21.61379901,30.69734046,32.89521754,26.77938621,22.39541687,24.82134282,35.00849703,44.66360846,38.69799584,49.01471949,77.38741006,79.94789883,88.3138253,95.18959641,64.18923548,97.11660891,115.2113712,76.59051569,65.17878404,60.76565395,61.41085744,60.59812131,85.09295661,68.88865635,51.09601334,59.13954135,57.84383186,53.98658224,48.93307461,52.59512746,60.8397155,72.78185345,70.54901442,97.81893803,85.47559772,64.14003996,55.65845624,58.76661515,63.77439387,91.36215037,99.9753153,99.2484875,98.67239469,118.6103484,157.4585173,142.0229659,113.5043257,no data
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.30676139,11.86029638,15.29729862,12.16300972,10.7454299,12.29035033,13.68720146,15.94027214,18.3919944,21.61904648,29.35537288,38.35583172,41.87664663,42.95698893,42.00958158,39.96696181,36.80309702,34.20573776,30.55370749,29.88473085,28.99640298,27.79730906,27.00082878,26.0541127,27.62358824,27.00772095,25.4167623,no data
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.2380072,15.83005248,19.08691772,33.84765812,25.49144514,23.68973627,26.23246029,29.68559529,34.93460702,38.81794303,44.54816251,48.15345125,59.62933103,65.61089867,70.42219895,63.08981707,63.51076183,69.35752007,81.40386978,98.01098671,103.7712186,99.45448334,99.18996902,97.93639714,98.66765115,113.9881826,98.34701503,92.1085693,98.44123363
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.313647646,0.381316713,0.985941951,0.962785557,0.852625001,1.022765148,1.550609964,1.832998631,1.261504371,2.10578333,3.204291717,2.305190821,2.294229554,3.944305368,4.266110912,3.003213154,4.065067727,4.303537486,4.567999627,4.39426798,4.868066656,5.847071862,5.990176344,6.005373267,7.138777075,7.05455315,5.938537489,4.402829591,4.895379777,5.502520886,8.060473868,7.295252483,5.803806699,6.86836691,7.457199074,8.211971828,8.515965368,8.560022962,8.821967914,8.183504348,9.27946035,9.792158827,11.2595191,11.32296217,12.53461075,10.57799849,10.86631027,13.04886041,15.53839203,16.01942522,17.33822686,20.67119684,20.20308415,20.31083146,21.09752578,21.1563782,24.80804034,25.06625682,22.60293255,22.51021554
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.16271902,30.89214113,33.66682175,34.30750379,32.78067504,35.60076319,35.28625255,39.83589972,39.10853016,35.10030068,32.88216622,30.11797954,30.86265106,34.63384309,39.54534991,36.99532336,37.68325701,37.40204592,43.65205421,44.68393964,45.98490637,50.3322397,53.88125909,53.15816277,56.04821757,58.88028088,64.03219356,63.97647487,56.23475319,57.3404674,62.57064203,69.74203185,86.01979899,89.56846689,93.63571861,90.84824075,88.14979927,92.84927856,89.38869542,79.35748613,70.90516055,64.04534523,58.87367509,55.90268761,53.95976897,78.51797359,62.98703583,51.03618742,50.6178067
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.63537848,21.03947489,24.92982121,27.05521659,26.2170172,28.33497233,29.5231693,25.31563311,27.36265361,23.17083569,25.27888816,23.06543341,25.80247652,27.23511274,30.31580065,29.15307373,32.12049704,31.88772114,31.85985827,33.78287999,37.66022794,41.26172426,44.09599381,44.64920568,47.89195493,51.24287457,48.5293607,48.09423593,46.37664112,43.31809831,43.31345777,44.61127552,46.2682263,46.40558407,48.55204943,49.00963673,50.19524721,51.49668556,49.75579181,49.25441114,49.46086084,48.05936743,46.70711474,44.43159449,43.6127963,47.51779875,46.22413724,41.18967408,39.30670155
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.260200989,4.141688306,5.702880845,4.976464219,4.721876338,4.181752977,4.293804025,4.839791168,5.150594093,7.503725711,5.613489729,7.152030997,6.585273047,8.665693162,9.259779348,12.18075992,10.54366372,9.729744916,9.732854168,9.606463184,9.12809879,9.244969846,9.451827737,10.61235026,12.42386819,13.90642646,13.19805287,13.99251257,14.95259625,14.91595044,15.97764868,18.88264588,15.76494841,18.65624389,19.56075025,20.61741577,25.41258375,28.89625584,29.21209833,30.38409794,30.43459316,31.44430892,35.02914399,38.45249513,36.57744362,35.52198355,35.16715659,37.89127116,39.41539507,40.08222927,39.68919826,42.79059233,42.21030489,44.64023947,45.31666095,46.98747159,47.44869781,48.98083934,53.73708769,53.0566971,44.12750692
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.940531726,6.223828344,6.516554504,6.022143031,6.78230509,8.092805893,9.239802834,9.12097489,9.25336845,9.743172942,8.947966123,7.132356653,5.761432941,5.401894786,3.482092342,5.171946796,5.538202424,5.170850366,6.679767756,9.002326892,8.614596921,8.783329674,12.08725782,16.60609008,18.67393787,21.35923941,24.62535507,24.51318491,28.34726706,27.73588581,20.39918815,21.13089288,21.21530347,25.91351314,28.30613982,28.57060885,26.04539416,27.67203944,43.16899592,36.67312277,31.81731108,35.23977997,36.29656492,34.52172012,39.86796715,42.69537989,41.44209192,47.75106774,48.35597291,56.60123248,48.6684597,40.80103916,40.17123387,45.86378748,50.43757113,63.96109096,65.539511,60.65872105,53.27944727,59.14501641,76.86721363,73.70218932,64.61888133,no data
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.01748853,11.51393317,12.49962031,12.10175466,12.57421367,12.83020092,11.68944409,10.38282211,11.94791552,12.76002257,12.37525574,12.5858037,13.27427612,17.255951,20.2843587,17.08590355,17.86468211,18.84633851,24.98628654,25.20725765,23.96078183,24.72194926,22.88838279,22.93169751,20.81298047,19.60087541,17.75562297,17.52040118,19.20877083,18.62324602,17.42725194,16.52483656,17.36480201,17.48883029,10.86964949,9.68022148,10.44076124,10.23790525,9.505230836,9.744563699,11.87603726,11.19453708,11.84778981,12.98419499,14.24990336,15.52186597,15.65983038,16.04907707,18.72939288,19.26778749,21.16290053,23.70812569,24.25352066,26.1211625,27.15224257,27.13820214,27.60526285,29.47436356,29.50539287,29.47603699,29.30046096,29.81109544,32.21601868,31.11632781
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.44627669,26.99733227,30.86918703,51.24940671,35.04308935,17.96491618,19.74480045,24.70266166,31.2997029,31.05381868,41.19305281,47.04092366,49.06333328,51.69697735,45.6849307,46.83646566,40.140653,39.37639167,40.47314389,40.10379423,44.42729627,47.18470336,48.78554476,54.68625979,53.28033221,51.40143224,no data
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.002017173,0.002547424,0.003428996,0.004588455,0.004074224,0.003618563,0.00323664,0.002974191,0.002723678,0.002602974,0.002784868,0.002519303,0.002666025,0.003188664,0.003330113,0.003041575,0.002937503,0.002861968,0.003362154,0.002645032,0.002904131,0.002843608,0.002728677,0.002410015,0.001308058,0.00093482,0.001098987,0.00097501,0.00113704,0.001578633,0.001352788,0.001496272,0.001300058,0.001464728,0.001333646,0.001130846,0.001027856,0.001264038,0.001101145,0.000863731,0.000874778,0.000956174,0.001207004,0.001747525,0.002096148,0.001945551,0.002000953,0.002680493,0.003542422,0.00527512,0.004799795,0.004673681,0.003620704,0.003440724,0.003718974,0.003285901,0.003480127,0.003205377,0.003574701,0.003807737,0.003572726,0.004204725,0.00352393,0.003224463
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.95122865,62.61216034,62.21239228,64.64180788,60.28278158,64.87589659,72.6601719,79.85092918,81.47429513,94.19531154,104.0210738,88.97626763,93.61022775,98.49072386,97.96556814,102.2458611,109.8944242,117.2495903,128.2156036,136.3312655,145.6776499,145.1915151,140.1837368,134.7624393,125.7950142,119.2069217,128.8695695,123.7950812,124.1628768,124.5086564,123.8339064,122.2438017,141.0335416,151.2168464,158.6539884,155.9617745,152.827473,147.2127434,166.3219082,162.366376,167.6607811,148.7232106,144.3619167,134.9596119,139.2260145,156.4541494,156.5437712,147.8686318,161.3052871,175.7054862,191.5938954,201.5182935,204.4470569,202.8597894,202.4440711,198.8177085,209.9838297,231.8293634,202.243573,168.6053178,176.0033376
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.46549674,60.77439091,59.20298329,62.8713706,59.1043784,47.34942042,46.80872733,50.85039982,46.72958932,46.99968814,49.05666357,52.24630288,61.02125598,65.23089932,70.25532214,67.44826583,71.79483965,75.16497124,79.09019395,84.15982796,84.83476025,93.98585617,96.59713783,95.94401984,96.99140947,101.1211367,99.59010261,99.22432171,90.46125485
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.84082669,25.87355799,28.62096184,33.53339719,41.32693726,41.61739321,41.9741776,49.09741222,54.83689926,59.70797966,63.25510576,65.5959777,69.35849734,73.98238032,83.99539732,89.53492806,104.1897729,114.7187403,123.8153293,124.9508441,124.6812472,123.697008,117.6373771,107.1605083,95.44302168,88.02490412,82.49227529,78.43047499,74.58873996,75.42794224,72.34112554,71.50521233,65.38795618
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.196074789,9.12336042,11.42711288,12.68779212,11.98433195,9.876904357,12.91915272,19.21430257,20.08010627,17.7795144,19.10338946,24.00360962,15.74297157,12.82823634,9.901237001,9.64463208,8.765267311,8.330161106,7.787047862,7.974981233,8.729392878,8.843385844,9.936671625,7.99105216,8.213378032,8.944706271,8.710414849,11.50561888,15.98472293,21.19915858,23.4832738,20.56976928,17.02703117,15.16291932,14.51752954,15.51131936,17.22605115,19.12985304,20.24318719,20.35541346,19.10171338,19.64667313,20.67741948,21.20711805,20.43732448,19.98281381
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.91784352,45.52989667,45.1246673,46.48915797,48.75263206,50.24268314,49.34050669,51.51169866,56.98092642,55.83141183,56.05046886,54.96677374,53.76805376,52.67426838,51.16509981,48.99270607,53.65744985,55.11466289,57.21355846,60.08217242,64.04190111,56.30241042,53.42927939,55.83735463,55.6679193,55.70956667,55.21621006,53.14102384,50.25280981,51.96150375,52.91145784,55.18506592,57.29298975,62.10742634,61.0521881,58.5256633,62.1440536,54.39754711,57.82780316,58.21125577,62.55846489,71.43075845,76.14570722,78.58020524,74.96139364,72.21287513,70.75722104,73.01741119,73.48216979,73.23880051,75.82381713,74.0064775,72.82520488,72.00377014,72.47256857,73.2351207,65.93267591,67.19323185,65.23466068
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.425612928,1.174500133,1.2904603,1.507326421,1.656368035,1.996884387,2.364279429,1.52272365,1.882478786,1.675179852,1.382702285,1.536712718,2.369828031
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.86993429,72.4644392,75.60902164,79.35444038,80.38521913,83.37561591,85.05651723,80.33904023,75.30253528,75.04772887,77.41882044,81.04615883,82.23566295,81.42543988,79.01275979,75.0065832,70.65095936,69.33412638,72.4387116,75.34868222,75.87039454,77.72574757,78.1836787,78.2616138,74.76614484,79.86872609,79.5020309,82.78535795,88.77328961,103.7799752,117.9301356,126.8414085,133.3445816,143.259045,156.5816996,173.5007898,194.5667359,208.8945107,213.6480252,222.0338493,223.1042246,218.5983775,210.5364665,201.0314415,188.6176319,176.3260823,167.8479421,158.780931,152.9395946,148.6805561,168.6811357,159.1733213,141.5584557,125.4715269
Sri Lanka,2.454445661,3.311291758,3.331745393,3.387020066,3.715894075,3.427115982,5.176575527,5.880972364,6.208701796,6.09425995,6.191116117,6.233118563,6.094991021,6.170623671,6.457297724,6.39091384,6.688347588,7.077312999,8.299566974,8.523094736,7.689585781,8.13568272,8.658691495,7.683936008,9.833154116,9.283139729,10.23354912,14.19458703,18.36927551,20.46231945,14.61692249,16.37966718,17.66042796,19.00361212,17.44445428,18.26440245,17.83808152,18.22920507,19.68669224,18.23222025,17.72073661,7.957202358,8.180814143,8.880019826,9.78835724,28.00503383,27.00577432,26.08408205,25.62128095,26.13314418,25.41274575,24.57887772,24.35282025,25.0735567,27.15389284,27.83501592,28.40201529,28.3685087,24.80076766,21.20185772,23.9778813,32.4400804,33.28613333,32.27907971,33.69303278,43.33601618,46.40758801,50.21502164,53.42732236,55.98327176,no data,no data,no data,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.704084605,4.849741324,5.342066107,6.358886562,5.729731425,4.535511147,4.899817185,5.747617218,6.826355295,5.336577371,5.72625273,5.303290119,5.421229548,5.894423257,5.180582259,5.926590722,6.181556918,5.812532751,6.680428791,7.349099401,7.583957162,7.696788473,10.76790424,9.501611978,9.010376547,8.568042972,8.295267322,6.587280598,6.103021694,3.79058688,4.414434558,4.618302226,5.143345247,3.136609195,2.973188915,1.955097675,1.771325693,1.418612158,1.175818184,0.937013231,1.231415078,1.44707542,1.820668312,2.06061643,2.229614487,3.021798961,10.40701412,9.746282579,9.303151263,11.47948323,10.36367375,9.05760092,11.70497896,10.33299552,8.00028403,8.079613433,6.890352013,8.045672358,8.9124446,8.807678031,6.202530957,6.012568567,8.582230795,no data
